1738589906.051963, -0.01096887005955008 0.0073411048813958706 -0.002061305993766732 0.9999107675619545 
1738589906.052819, -0.010960875117877732 0.006453965626349093 -0.0019692855776265402 0.999917160298121 
1738589906.053194, -0.010992901752441027 0.007532825372098716 -0.002320072032374273 0.9999085107742304 
1738589906.0535264, -0.011003806404970461 0.007390801468675906 -0.002264188710176994 0.9999095787858706 
1738589906.0538812, -0.01094337393124205 0.007331916988843259 -0.0020606294952913613 0.99991111573297 
1738589906.0542204, -0.010925857072102788 0.007294039402618062 -0.0019900225021792684 0.9999117273274045 
1738589906.054541, -0.010967581432918358 0.007484172118445781 -0.0023575518330555332 0.9999090665028338 
1738589906.0548842, -0.010996612715018261 0.007437309733088 -0.002214545592141896 0.9999094242582929 
1738589906.0554082, -0.0109903337817763 0.007181437425343692 -0.0021581969039027467 0.9999114869357163 
1738589906.055723, -0.011018435952245343 0.00739772970880262 -0.002251558655153464 0.9999093949693363 
1738589906.0561059, -0.010999040983363087 0.00739978158162146 -0.0022287809040099794 0.9999096443507646 
1738589906.056467, -0.01101599248315121 0.007391623905881976 -0.002365790873530386 0.9999092032975734 
1738589906.0615184, -0.011001176514481648 0.007198676314034625 -0.0021781652755035377 0.9999112004426473 
1738589906.0624704, -0.010991629933850607 0.007214464111451993 -0.0022025879125631385 0.9999111381445199 
1738589906.063203, -0.010981662380783557 0.007471890722053507 -0.0024090756339700302 0.9999088809961546 
1738589906.0637684, -0.01099803480404598 0.0074618798221607364 -0.0021044265046366336 0.9999094633860884 
1738589906.0642104, -0.011008696116957154 0.0073037734428215845 -0.002153459020960515 0.9999104090455033 
1738589906.064595, -0.011002804133619018 0.0076404190440792575 -0.0023815790885919805 0.9999074409059435 
1738589906.065037, -0.011016124172523513 0.0073507281067637575 -0.0021142434499769884 0.9999100668455891 
1738589906.065364, -0.011008250487401429 0.007399373506547659 -0.002366195951492169 0.9999092302852476 
1738589906.0656672, -0.010985893369560877 0.007516964579435215 -0.002185167859112598 0.9999090110764137 
1738589906.071403, -0.010979529435643485 0.007454584344275429 -0.002358511969052856 0.9999091541369735 
1738589906.0721357, -0.011646764770955404 0.010357331240693513 -0.00782898833769883 0.999847881180707 
1738589906.072526, -0.011501002547813175 0.009999656107207995 -0.006886995276692928 0.9998601417769345 
