1738589905.6137936, -0.7090090294320317 -0.08908522673906834 -0.07767063609311321 0.6952246333736948 
1738589905.6144443, -0.7090147626743964 -0.08908259532431001 -0.07773373890333656 0.6952120707785232 
1738589905.614709, -0.7090202594313618 -0.08908881573276317 -0.07767745099903742 0.6952119592135267 
1738589905.6149144, -0.7090336962920495 -0.08907695336193888 -0.07767184042530498 0.6952004021195145 
1738589905.6151497, -0.7090179766611836 -0.08907907741227478 -0.07767779966302743 0.6952154962155043 
1738589905.6281662, -0.7090163742226219 -0.08904908367452141 -0.07771949289445783 0.6952163132472967 
1738589905.705476, -0.7089838532275494 -0.08906995350645808 -0.07769499675046782 0.6952495427721753 
1738589905.7748156, -0.7090099160427953 -0.089055122923601 -0.07769554872221313 0.6952248023069983 
1738589905.7836788, -0.7090026453719217 -0.0890586186743442 -0.07767723272695848 0.6952338159290851 
1738589905.7841856, -0.7089926244365607 -0.08906316797380152 -0.07771323349179765 0.6952394292222484 
1738589905.7846026, -0.7090116255464312 -0.08907973555800368 -0.07771859499569557 0.6952173297213027 
1738589905.785009, -0.7089855290199134 -0.08908367364926888 -0.07772177774044506 0.6952430826656019 
1738589905.7854047, -0.7090005962663102 -0.08906230205214598 -0.07772926095385171 0.6952296187870286 
1738589905.7857769, -0.7090072559609988 -0.08904996076840836 -0.07771495548712613 0.6952260072634177 
1738589905.7940834, -0.708995130879176 -0.08906262961535653 -0.07768913934154588 0.6952396349633613 
1738589905.7950728, -0.7089976713727889 -0.08905515982226658 -0.07770741962550687 0.6952359580977806 
1738589905.7954767, -0.7090254251206696 -0.08907406211742576 -0.07769230793699518 0.6952069211952496 
1738589905.9662645, -0.7089997452004689 -0.08907762398146066 -0.07771737106167763 0.6952298529599755 
1738589905.9676125, -0.7089840746169183 -0.08904554184444637 -0.07779276250913313 0.6952415116478723 
1738589905.9679987, -0.7089927089614355 -0.08904620866277799 -0.07771711962919364 0.6952410809775641 
1738589905.9684103, -0.7091984097093216 -0.0892054617972853 -0.07673038939025277 0.6951204561767136 
1738589905.9687624, -0.7089880159249412 -0.08906202479711336 -0.07776119517237144 0.6952389125611556 
1738589905.9691179, -0.709175963328141 -0.08932099258200366 -0.07604951517219577 0.6952033404435303 
1738589905.9694676, -0.7090068529374045 -0.08905572823059144 -0.07770604795373108 0.6952266751704289 
1738589905.969808, -0.7090041278774656 -0.08905078169307193 -0.07774934613567593 0.6952252470300846 
1738589905.9737217, -0.7090101449185809 -0.08904278803569063 -0.07773910647827188 0.6952212796119837 
1738589905.9741936, -0.7090103670230692 -0.08904607640225781 -0.07771161554151698 0.6952237053935255 
1738589905.974562, -0.7089786918752747 -0.08907449513458557 -0.07776773478053145 0.695246091833998 
1738589905.9839306, -0.7090104991616624 -0.08906906458715191 -0.07774978420477399 0.6952163583145978 
1738589905.984692, -0.7091840432169281 -0.0893477232609263 -0.07604031225378911 0.6951926697735855 
1738589905.9850688, -0.7090103879236289 -0.08905025926190598 -0.07766875054099122 0.6952279383994677 
1738589905.9855416, -0.709002352211351 -0.08906121917937514 -0.07771795341756642 0.6952292309113877 
1738589905.9881556, -0.7090085414115809 -0.08906911866957538 -0.07772398682259923 0.6952212325420218 
1738589905.9887383, -0.7089934827509914 -0.08904093424379 -0.07777936310466307 0.6952340067348876 
1738589905.989118, -0.7089961756254632 -0.08905392951088195 -0.07777632893630228 0.6952299355208538 
1738589905.989529, -0.7090086233679362 -0.08905756403701548 -0.07774004253204753 0.695220834026723 
1738589905.9898763, -0.7089998547833204 -0.08906190077287594 -0.0777315414280627 0.6952301713930219 
1738589905.9943514, -0.7090180247015833 -0.08907325187869443 -0.0777363661139062 0.6952096473952477 
1738589905.995173, -0.7090023731043272 -0.08904167384783415 -0.07774284191739156 0.6952289304836328 
1738589905.9955387, -0.7089753067950807 -0.08904813703954413 -0.07775737421728149 0.6952540790239504 
1738589905.9959834, -0.709197647295914 -0.08920907102145542 -0.07673688774947826 0.6951200534986409 
1738589905.9965768, -0.7089891758676059 -0.08904295891784415 -0.07776088554109038 0.6952402064391799 
1738589905.9970977, -0.7089939599033318 -0.08903988401264797 -0.07772784902932836 0.6952394158567831 
1738589905.9977689, -0.7089790120723426 -0.08907068663003265 -0.07774981240270855 0.6952482577436087 
1738589906.0038726, -0.7091909399221447 -0.08936488231131345 -0.07600383638978868 0.6951874174608343 
1738589906.0045915, -0.7090039139185168 -0.08907112227019018 -0.07767010068893157 0.6952317172603136 
1738589906.0049677, -0.7090198313052972 -0.08907697455965384 -0.07777209060077964 0.6952033323731202 
1738589906.0138946, -0.7090216487255198 -0.08906198573307555 -0.07776757389836683 0.6952039044667322 
1738589906.0145419, -0.7090099984949274 -0.08906079222839668 -0.07770727705845029 0.6952226811705977 
1738589906.0148346, -0.7089960443608777 -0.08903848164655369 -0.07773110519317357 0.6952371057072202 
1738589906.015094, -0.709183119051695 -0.08932246213848373 -0.07602341833070768 0.6951987063242732 
1738589906.0153625, -0.7090008991887622 -0.08904293011312377 -0.07775240854192918 0.6952292028621389 
1738589906.0320048, -0.7091834820965952 -0.08933915371913019 -0.07603172316978317 0.6951952829284239 
1738589906.0327811, -0.7091565152257884 -0.08936356367055052 -0.07609769700055785 0.6952124358152169 
