1738589909.69108, [250, 168, 141]
1738589909.7244232, [239, 161, 135]
1738589909.7577672, [253, 171, 144]
1738589909.79111, [252, 169, 143]
1738589909.824454, [242, 162, 136]
1738589909.8577971, [255, 173, 146]
1738589909.8911412, [252, 167, 141]
1738589909.924484, [242, 162, 136]
1738589909.9578283, [254, 172, 145]
1738589909.9911714, [250, 168, 141]
1738589910.0245154, [239, 161, 135]
1738589910.0578585, [254, 172, 145]
1738589910.0912027, [252, 169, 145]
1738589910.1245456, [243, 163, 138]
1738589910.1578896, [255, 173, 146]
1738589910.191233, [254, 170, 144]
1738589910.224577, [243, 163, 138]
1738589910.2579222, [255, 173, 146]
1738589910.2912636, [252, 169, 143]
1738589910.324604, [243, 163, 138]
1738589910.3579454, [255, 173, 148]
1738589910.3912861, [252, 169, 145]
1738589910.4246278, [243, 163, 138]
1738589910.457968, [255, 174, 149]
1738589910.4913094, [250, 168, 143]
1738589910.5246499, [245, 162, 138]
1738589910.5579913, [255, 175, 147]
1738589910.5913315, [248, 166, 141]
1738589910.624673, [245, 165, 142]
1738589910.658013, [254, 173, 148]
1738589910.6913543, [250, 168, 143]
1738589910.7246945, [243, 163, 138]
1738589910.758036, [254, 173, 148]
1738589910.7913759, [250, 168, 143]
1738589910.824717, [246, 163, 139]
1738589910.8580573, [254, 173, 148]
1738589910.8913984, [249, 167, 142]
1738589910.9247384, [242, 162, 136]
1738589910.9580796, [255, 181, 151]
1738589910.9914193, [252, 175, 146]
1738589911.0247605, [250, 173, 142]
1738589911.0581007, [255, 180, 149]
1738589911.0914414, [248, 171, 145]
1738589911.1247816, [241, 168, 140]
1738589911.191462, [233, 167, 142]
1738589911.224803, [180, 113, 88]
1738589911.2581437, [153, 77, 50]
1738589911.2914834, [127, 64, 42]
1738589911.324822, [128, 65, 43]
1738589911.358162, [141, 69, 50]
1738589911.3915005, [135, 67, 47]
1738589911.42484, [131, 64, 43]
1738589911.4581788, [138, 71, 50]
1738589911.4915183, [131, 65, 46]
1738589911.524857, [127, 67, 48]
1738589911.5581963, [134, 71, 51]
1738589911.5915349, [124, 63, 45]
1738589911.6248744, [123, 65, 46]
1738589911.6582127, [129, 67, 52]
1738589911.691552, [123, 66, 51]
1738589911.7248905, [123, 67, 47]
1738589911.7582295, [134, 71, 51]
1738589911.7915678, [126, 67, 50]
1738589911.8582451, [133, 73, 52]
1738589911.8915842, [125, 69, 50]
1738589911.9249225, [123, 67, 49]
1738589911.9582615, [134, 74, 55]
1738589911.9915996, [127, 66, 50]
1738589912.0249386, [129, 68, 48]
1738589912.0582764, [136, 71, 54]
1738589912.0916154, [126, 67, 48]
1738589912.1249533, [127, 68, 52]
1738589912.1582923, [130, 72, 53]
1738589912.19163, [129, 67, 52]
1738589912.2249687, [127, 63, 46]
1738589912.2583065, [132, 70, 48]
1738589912.2916486, [123, 65, 48]
1738589912.3249898, [123, 65, 48]
1738589912.358332, [132, 72, 51]
1738589912.391673, [123, 67, 49]
1738589912.4250152, [125, 66, 49]
1738589912.4583561, [132, 71, 53]
1738589912.4916983, [118, 64, 44]
1738589912.5250392, [126, 68, 46]
1738589912.5583813, [131, 70, 52]
1738589912.5917222, [125, 66, 47]
1738589912.6250641, [124, 68, 48]
1738589912.658405, [130, 69, 51]
1738589912.6917472, [121, 67, 49]
1738589912.725088, [125, 66, 47]
1738589912.7584298, [131, 70, 52]
1738589912.7917705, [121, 64, 47]
1738589912.8251123, [122, 66, 46]
1738589912.858453, [126, 68, 46]
1738589912.891795, [121, 65, 45]
1738589912.9251356, [122, 65, 48]
1738589912.9584773, [127, 69, 50]
1738589913.0251596, [122, 65, 48]
1738589913.0585003, [127, 69, 50]
1738589913.091842, [118, 62, 43]
1738589913.1251826, [118, 64, 46]
1738589913.1585243, [125, 66, 47]
1738589913.2252064, [121, 65, 45]
1738589913.2585466, [127, 68, 52]
1738589913.291889, [116, 62, 43]
1738589913.3252285, [120, 67, 46]
1738589913.3919086, [116, 62, 43]
1738589913.425249, [116, 62, 43]
1738589913.4585886, [123, 65, 46]
1738589913.491929, [117, 60, 47]
1738589913.5252683, [120, 63, 46]
1738589913.5586085, [121, 64, 47]
1738589913.591948, [114, 57, 42]
1738589913.6252882, [118, 62, 45]
1738589913.6586277, [121, 62, 46]
1738589913.691968, [112, 60, 43]
1738589913.7253072, [114, 62, 43]
1738589913.7586474, [117, 60, 45]
1738589913.7919865, [112, 60, 43]
1738589913.8253267, [116, 61, 45]
1738589913.858666, [120, 64, 44]
1738589913.8920062, [108, 56, 42]
1738589913.9253452, [114, 60, 42]
1738589913.9586854, [116, 57, 43]
1738589913.9920242, [107, 57, 42]
1738589914.0253642, [118, 62, 45]
1738589914.0587034, [114, 60, 44]
1738589914.0920432, [107, 55, 38]
1738589914.1253822, [108, 56, 40]
1738589914.1587222, [113, 59, 43]
1738589914.192061, [107, 57, 42]
1738589914.225401, [112, 60, 43]
1738589914.2587397, [114, 60, 44]
1738589914.2920797, [105, 55, 40]
1738589914.325419, [109, 57, 43]
1738589914.3587592, [110, 55, 40]
1738589914.3920987, [103, 55, 39]
1738589914.425439, [107, 57, 40]
1738589914.4587784, [107, 55, 38]
1738589914.4921186, [105, 57, 42]
1738589914.525458, [108, 58, 41]
1738589914.558798, [108, 56, 42]
1738589914.5921373, [99, 51, 38]
1738589914.6254776, [107, 57, 40]
1738589914.6588166, [107, 60, 44]
1738589914.6921568, [102, 54, 40]
1738589914.7254958, [109, 57, 41]
1738589914.758836, [107, 57, 42]
1738589914.825515, [105, 55, 40]
1738589914.8588543, [102, 54, 38]
1738589914.892194, [95, 49, 38]
1738589914.925533, [100, 52, 39]
1738589914.958873, [103, 56, 37]
1738589914.9922118, [95, 50, 35]
1738589915.0255518, [102, 54, 38]
1738589915.0588906, [100, 53, 37]
1738589915.0922306, [95, 50, 35]
1738589915.1255693, [100, 53, 37]
1738589915.158909, [98, 50, 35]
1738589915.1922479, [94, 49, 34]
1738589915.2255876, [98, 52, 36]
1738589915.2589262, [98, 50, 37]
1738589915.2922666, [93, 47, 33]
1738589915.3256257, [93, 47, 33]
1738589915.358986, [94, 50, 38]
1738589915.3923452, [90, 49, 35]
1738589915.4257057, [94, 49, 34]
1738589915.4590652, [91, 48, 33]
1738589915.492426, [85, 44, 31]
1738589915.525786, [91, 48, 33]
1738589915.559147, [91, 48, 33]
1738589915.5925074, [87, 44, 29]
1738589915.6258686, [90, 47, 34]
1738589915.6592293, [87, 44, 29]
1738589915.692591, [80, 44, 26]
1738589915.725952, [89, 45, 33]
1738589915.759314, [88, 45, 30]
1738589915.792675, [82, 44, 29]
1738589915.8260376, [89, 47, 34]
1738589915.8593988, [86, 45, 32]
1738589915.8927617, [80, 39, 26]
1738589915.9261236, [90, 47, 32]
1738589915.9594862, [88, 44, 32]
1738589915.9928486, [82, 40, 29]
1738589916.026212, [86, 45, 32]
1738589916.0595741, [88, 44, 32]
1738589916.0929377, [81, 43, 26]
1738589916.1263006, [89, 47, 34]
1738589916.1596646, [88, 44, 32]
1738589916.1930275, [81, 42, 28]
1738589916.2263918, [87, 46, 35]
1738589916.2597551, [86, 45, 32]
1738589916.2931168, [82, 43, 31]
1738589916.326464, [88, 49, 35]
1738589916.3598123, [83, 44, 33]
1738589916.3931596, [81, 42, 28]
1738589916.4265077, [88, 44, 32]
1738589916.4598553, [88, 45, 30]
1738589916.4932036, [84, 42, 31]
1738589916.5265512, [87, 46, 33]
1738589916.5598996, [82, 43, 31]
1738589916.5932472, [81, 43, 26]
1738589916.6265957, [86, 45, 32]
1738589916.6599433, [82, 44, 29]
1738589916.693292, [79, 40, 28]
1738589916.7266397, [83, 44, 33]
1738589916.7599883, [80, 39, 28]
1738589916.793336, [78, 39, 27]
1738589916.8266847, [85, 44, 29]
1738589916.8600326, [83, 45, 31]
1738589916.8933814, [79, 40, 28]
1738589916.9267292, [83, 45, 31]
1738589916.9600782, [76, 39, 27]
1738589916.993426, [76, 40, 25]
1738589917.026775, [81, 43, 26]
1738589917.0601227, [80, 41, 29]
1738589917.093472, [73, 39, 28]
1738589917.1268198, [82, 43, 31]
1738589917.160169, [78, 39, 27]
1738589917.1935172, [73, 39, 24]
1738589917.2268662, [78, 42, 29]
1738589917.2602143, [74, 37, 24]
1738589917.293563, [72, 37, 26]
1738589917.3602424, [74, 37, 24]
1738589917.3935816, [73, 39, 28]
1738589917.4269214, [80, 41, 29]
1738589917.4602604, [74, 37, 26]
1738589917.4936004, [71, 35, 22]
1738589917.5602794, [72, 38, 24]
1738589917.5936182, [71, 36, 25]
1738589917.626958, [78, 39, 27]
1738589917.660297, [73, 39, 26]
1738589917.6936367, [69, 34, 23]
1738589917.7269754, [77, 40, 30]
1738589917.7603152, [70, 33, 23]
1738589917.7936537, [73, 35, 25]
1738589917.8269935, [76, 40, 25]
1738589917.860332, [72, 37, 26]
1738589917.8936715, [72, 37, 26]
1738589917.92701, [75, 36, 24]
1738589917.9603496, [71, 36, 25]
1738589917.9936883, [70, 36, 22]
1738589918.0270276, [78, 42, 29]
1738589918.060366, [71, 36, 25]
1738589918.0937054, [76, 39, 29]
1738589918.1270437, [72, 38, 24]
1738589918.160383, [72, 38, 24]
1738589918.1937215, [73, 36, 23]
1738589918.2270606, [72, 40, 26]
1738589918.2937381, [70, 35, 24]
1738589918.3270779, [75, 38, 28]
1738589918.3604188, [71, 37, 23]
1738589918.3937585, [69, 38, 23]
1738589918.4270995, [75, 39, 24]
1738589918.4937801, [71, 39, 24]
1738589918.5271199, [72, 38, 24]
1738589918.5604606, [68, 36, 24]
1738589918.5938, [71, 38, 26]
1738589918.6271408, [74, 37, 24]
1738589918.6604805, [70, 35, 24]
1738589918.693821, [70, 35, 24]
1738589918.7271607, [72, 38, 24]
1738589918.7605011, [68, 36, 24]
1738589918.7938406, [70, 35, 24]
1738589918.827181, [72, 38, 24]
1738589918.8605206, [67, 35, 23]
1738589918.893861, [68, 36, 24]
1738589918.9272006, [73, 36, 23]
1738589918.9605408, [69, 34, 23]
1738589918.99388, [68, 36, 24]
1738589919.0272205, [71, 35, 22]
1738589919.0605597, [66, 34, 20]
